DATE,食パン,即席めん,ゆでうどん,小麦粉,牛乳,チーズ,豆腐,食用油（キャノーラ油）,食用油（サラダ油）,マーガリン,マヨネーズ,しょう油,みそ,かまぼこ,まぐろ缶詰,バター
2018-11-01,175.01,156,62.4,264,258,282.15,82.95,332,359,275.4,306,293,366.75,165,157,442
2018-12-01,175.01,156,62.6,264,257,279.45,82.6,343,359,274.5,305,294,368.25,164,159,443
2018-01-01,175.75,155,62.4,263,257,282.15,81.9,330,357,273.6,304,291,366.0,163,160,443
2019-02-01,174.64,155,62.2,265,257,280.8,81.9,334,355,276.3,307,290,363.75,163,161,443
2019-03-01,174.64,155,62.4,266,258,278.1,81.9,326,347,276.3,307,288,363.75,164,162,443
2019-04-01,175.01,155,62.4,267,257,278.1,81.55,327,353,270.0,300,288,359.25,164,161,443
2019-05-01,174.27,154,62.8,267,265,279.45,81.2,332,353,270.9,301,289,363.0,166,161,443
2020-02-01,173.9,165,63.0,266,267,274.05,81.2,321,347,267.3,297,287,360.75,167,163,445
2020-03-01,172.42,165,63.2,266,265,278.1,80.85,317,345,266.4,296,287,363.75,167,163,445
2020-04-01,171.31,164,62.4,266,266,274.05,80.85,316,345,263.7,293,288,360.0,166,162,445
2020-05-01,171.31,164,62.4,266,266,274.05,80.85,316,345,263.7,293,288,360.0,166,162,445
2020-06-01,173.9,164,60.8,274,267,261.9,82.6,317,345,263.7,293,295,367.5,168,163,448
2020-07-01,171.68,164,63.0,270,264,267.3,81.2,317,345,261.9,291,289,360.0,166,163,447
2020-10-01,171.31,163,62.6,269,267,275.4,79.8,313,339,257.4,286,286,358.5,166,162,447
2021-05-01,169.46,163,63.2,266,265,270.0,79.45,312,334,255.6,284,285,354.0,166,160,445
2021-06-01,168.35,163,62.8,267,266,268.65,80.15,310,338,255.6,284,288,357.75,167,162,444
2021-07-01,169.09,163,63.2,269,263,253.8,80.85,316,342,259.2,288,290,359.25,165,160,445
2021-08-01,167.98,162,62.4,271,265,271.35,80.85,318,346,273.6,304,286,353.25,165,162,444
2021-09-01,167.61,162,61.0,274,263,270.0,81.55,335,358,277.2,308,288,356.25,164,163,444
2021-10-01,169.83,162,60.2,281,264,280.8,84.7,344,369,279.0,310,299,369.75,165,163,444
2021-11-01,169.46,162,63.4,277,265,268.65,81.2,356,369,279.0,310,286,354.0,165,160,446
2021-12-01,168.72,162,63.0,279,265,255.15,81.55,364,376,279.0,310,287,355.5,166,161,445
2021-01-01,169.09,160,63.2,274,264,251.1,81.2,367,380,276.3,307,284,351.0,165,161,445
2022-02-01,175.38,161,63.2,280,265,268.65,81.9,376,383,277.2,308,285,351.75,166,163,445
2022-03-01,180.93,161,63.2,292,264,268.65,81.55,388,393,277.2,308,285,353.25,166,162,445
2022-04-01,179.82,162,64.4,298,265,268.65,82.25,399,394,293.4,326,296,354.0,169,161,445
2022-05-01,180.56,162,67.0,302,266,286.2,81.9,409,404,306.9,341,306,356.25,174,160,443
2022-06-01,179.82,162,67.4,303,267,284.85,82.6,413,410,306.9,341,306,358.5,175,161,443
2022-07-01,182.04,180,67.6,304,265,286.2,82.95,419,418,309.6,344,307,355.5,176,161,443
2022-08-01,188.7,182,67.8,311,266,286.2,83.3,439,441,306.9,341,309,359.25,176,162,442
2022-09-01,190.92,182,68.0,319,265,284.85,83.65,468,471,309.6,344,309,361.5,175,160,443
2022-10-01,190.18,180,69.0,322,267,294.3,84.0,495,480,306.0,340,311,366.0,182,166,440
2022-11-01,190.55,180,69.6,324,266,311.85,86.45,507,496,330.3,367,309,369.0,186,169,440
2022-12-01,191.29,181,69.2,323,284,314.55,86.45,509,495,337.5,375,308,369.75,186,170,440
2022-01-01,192.77,181,69.8,324,286,302.4,86.8,509,502,335.7,373,307,369.75,188,170,440
2023-02-01,191.66,182,70.0,327,288,318.6,87.5,512,498,339.3,377,308,368.25,189,178,440
2023-03-01,190.18,182,69.8,326,288,322.65,87.15,512,501,337.5,375,308,372.0,189,187,440
