,DATE,まぐろ,えび,ぶり,さけ
0,2023-02-01,524,351,390,324
1,2023-01-01,544,358,399,322
2,2022-12-01,528,342,371,313
3,2022-11-01,521,330,318,296
4,2022-10-01,502,330,317,290
5,2022-09-01,503,328,301,309
6,2022-08-01,489,322,286,292
7,2022-07-01,478,318,292,277
8,2022-06-01,465,320,302,274
9,2022-05-01,464,322,283,270
10,2022-04-01,471,317,277,269
11,2022-03-01,460,318,322,256
12,2022-02-01,475,313,343,257
13,2022-01-01,478,313,332,251
14,2021-12-01,465,310,303,253
15,2021-11-01,459,301,276,243
16,2021-10-01,443,304,271,234
17,2021-09-01,432,304,255,243
18,2021-08-01,418,309,264,241
19,2021-07-01,411,305,264,235
20,2021-06-01,412,306,262,233
21,2021-05-01,405,304,261,241
22,2021-04-01,409,303,247,247
23,2021-03-01,412,311,267,236
24,2021-02-01,412,308,280,236
25,2021-01-01,405,312,269,237
26,2020-12-01,393,310,261,235
27,2020-11-01,389,303,262,233
28,2020-10-01,390,307,275,223
29,2020-09-01,388,311,283,243
30,2020-08-01,390,310,260,239
31,2020-07-01,382,311,267,231
32,2020-06-01,390,309,264,235
33,2020-05-01,401,314,263,242
34,2020-04-01,410,306,250,247
35,2020-03-01,421,314,280,246
36,2020-02-01,418,315,285,248
37,2020-01-01,423,315,289,245
38,2019-12-01,418,313,281,245
39,2019-11-01,418,307,276,233
40,2019-10-01,416,305,269,223
41,2019-09-01,413,300,271,238
42,2019-08-01,415,305,278,249
43,2019-07-01,414,304,273,250
44,2019-06-01,420,305,265,249
45,2019-05-01,429,302,257,255
46,2019-04-01,434,309,251,259
47,2019-03-01,441,313,272,252
48,2019-02-01,436,315,300,254
49,2019-01-01,458,326,305,251
50,2018-12-01,446,317,281,240
51,2018-11-01,441,315,279,231
52,2018-10-01,428,315,272,229
