DATE,まぐろ,えび,ぶり,さけ
2018/10/1,428,315,272,229
2018/11/1,441,315,279,231
2018/12/1,446,317,281,240
2019/1/1,458,326,305,251
2019/2/1,436,315,300,254
2019/3/1,441,313,272,252
2019/4/1,434,309,251,259
2019/5/1,429,302,257,255
2019/6/1,420,305,265,249
2019/7/1,414,304,273,250
2019/8/1,415,305,278,249
2019/9/1,413,300,271,238
2019/10/1,416,305,269,223
2019/11/1,418,307,276,233
2019/12/1,418,313,281,245
2020/1/1,423,315,289,245
2020/2/1,418,315,285,248
2020/3/1,421,314,280,246
2020/4/1,410,306,250,247
2020/5/1,401,314,263,242
2020/6/1,390,309,264,235
2020/7/1,382,311,267,231
2020/8/1,390,310,260,239
2020/9/1,388,311,283,243
2020/10/1,390,307,275,223
2020/11/1,389,303,262,233
2020/12/1,393,310,261,235
2021/1/1,405,312,269,237
2021/2/1,412,308,280,236
2021/3/1,412,311,267,236
2021/4/1,409,303,247,247
2021/5/1,405,304,261,241
2021/6/1,412,306,262,233
2021/7/1,411,305,264,235
2021/8/1,418,309,264,241
2021/9/1,432,304,255,243
2021/10/1,443,304,271,234
2021/11/1,459,301,276,243
2021/12/1,465,310,303,253
2022/1/1,478,313,332,251
2022/2/1,475,313,343,257
2022/3/1,460,318,322,256
2022/4/1,471,317,277,269
2022/5/1,464,322,283,270
2022/6/1,465,320,302,274
2022/7/1,478,318,292,277
2022/8/1,489,322,286,292
2022/9/1,503,328,301,309
2022/10/1,502,330,317,290
2022/11/1,521,330,318,296
2022/12/1,528,342,371,313
2023/1/1,544,358,399,322
2023/2/1,524,351,390,324
