,DATE,キャベツ,ねぎ,レタス,ばれいしょ,たまねぎ,きゅうり,トマト,ほうれんそう,にんじん,はくさい,だいこん,なす
0,2017-11-06,171.0,,763.0,,,,783.0,,,189,192,
1,2017-11-13,198.0,,909.0,,,,771.0,,,195,190,
2,2017-11-20,196.0,,873.0,,,,757.0,,,209,190,
3,2017-11-27,207.0,,969.0,,,,762.0,,,236,204,
4,2017-12-04,221.0,,1109.0,,,,794.0,,,243,215,
5,2017-12-11,226.0,,1046.0,,,,831.0,,,250,216,
6,2017-12-18,253.0,,1072.0,,,,841.0,,,256,230,
7,2017-12-25,326.0,,1230.0,,,,874.0,,,285,269,
8,2018-01-08,392.0,,1382.0,,,,868.0,,,338,330,
9,2018-01-15,419.0,,1264.0,,,,835.0,,,362,342,
10,2018-01-22,377.0,,1052.0,,,,775.0,,,353,321,
11,2018-01-29,351.0,,931.0,,,,732.0,,,350,290,
12,2018-02-05,356.0,,938.0,,,,712.0,,,351,285,
13,2018-02-12,417.0,,1052.0,,,,700.0,,,381,323,
14,2018-02-19,455.0,,1048.0,,,,707.0,,,386,325,
15,2018-02-26,475.0,,957.0,,,,709.0,,,389,319,
16,2018-03-05,432.0,,763.0,,,,704.0,,,382,320,
17,2018-03-12,335.0,,540.0,,,,689.0,,,347,296,
18,2018-03-19,252.0,,420.0,,,,672.0,,,308,240,
19,2018-03-26,237.0,,395.0,,,,657.0,,,289,205,
20,2018-04-02,215.0,,367.0,,,,647.0,,,280,186,
21,2018-04-09,206.0,,357.0,,,492.0,642.0,,,,171,
22,2018-04-16,201.0,,348.0,,,464.0,631.0,,,,163,
23,2018-04-23,203.0,,348.0,,,457.0,634.0,,,,165,
24,2018-05-07,180.0,,334.0,,,452.0,616.0,,,,164,
25,2018-05-14,155.0,,330.0,,,495.0,602.0,,,,157,
26,2018-05-21,145.0,,336.0,,,528.0,584.0,,,,165,
27,2018-05-28,142.0,,393.0,,,504.0,565.0,,,,173,
28,2018-06-04,137.0,,363.0,,,482.0,568.0,,,,,
29,2018-06-11,141.0,,334.0,,,471.0,561.0,,,,,
30,2018-06-18,148.0,,327.0,,,483.0,560.0,,,,,
