,キャベツ,ねぎ,レタス,ばれいしょ,たまねぎ,きゅうり,トマト,ほうれんそう,にんじん,はくさい,だいこん,なす
平成29年11月6日の週,171.0,,763.0,,,,783.0,,,189,192,
平成29年11月13日の週,198.0,,909.0,,,,771.0,,,195,190,
平成29年11月20日の週,196.0,,873.0,,,,757.0,,,209,190,
平成29年11月27日の週,207.0,,969.0,,,,762.0,,,236,204,
平成29年12月4日の週,221.0,,1109.0,,,,794.0,,,243,215,
平成29年12月11日の週,226.0,,1046.0,,,,831.0,,,250,216,
平成29年12月18日の週,253.0,,1072.0,,,,841.0,,,256,230,
平成29年12月25日の週,326.0,,1230.0,,,,874.0,,,285,269,
平成30年1月8日の週,392.0,,1382.0,,,,868.0,,,338,330,
平成30年1月15日の週,419.0,,1264.0,,,,835.0,,,362,342,
平成30年1月22日の週,377.0,,1052.0,,,,775.0,,,353,321,
平成30年1月29日の週,351.0,,931.0,,,,732.0,,,350,290,
平成30年2月5日の週,356.0,,938.0,,,,712.0,,,351,285,
平成30年2月12日の週,417.0,,1052.0,,,,700.0,,,381,323,
平成30年2月19日の週,455.0,,1048.0,,,,707.0,,,386,325,
平成30年2月26日の週,475.0,,957.0,,,,709.0,,,389,319,
平成30年3月5日の週,432.0,,763.0,,,,704.0,,,382,320,
平成30年3月12日の週,335.0,,540.0,,,,689.0,,,347,296,
平成30年3月19日の週,252.0,,420.0,,,,672.0,,,308,240,
平成30年3月26日の週,237.0,,395.0,,,,657.0,,,289,205,
平成30年4月2日の週,215.0,,367.0,,,,647.0,,,280,186,
平成30年4月9日の週,206.0,,357.0,,,492.0,642.0,,,,171,
平成30年4月16日の週,201.0,,348.0,,,464.0,631.0,,,,163,
平成30年4月23日の週,203.0,,348.0,,,457.0,634.0,,,,165,
平成30年5月7日の週,180.0,,334.0,,,452.0,616.0,,,,164,
平成30年5月14日の週,155.0,,330.0,,,495.0,602.0,,,,157,
平成30年5月21日の週,145.0,,336.0,,,528.0,584.0,,,,165,
平成30年5月28日の週,142.0,,393.0,,,504.0,565.0,,,,173,
平成30年6月4日の週,137.0,,363.0,,,482.0,568.0,,,,,
平成30年6月11日の週,141.0,,334.0,,,471.0,561.0,,,,,
平成30年6月18日の週,148.0,,327.0,,,483.0,560.0,,,,,
平成30年6月25日の週,169.0,,349.0,,,524.0,571.0,,,,,
平成30年7月2日の週,166.0,,322.0,,,512.0,591.0,,,,,
平成30年7月9日の週,168.0,,307.0,,,534.0,600.0,,,,,
平成30年7月16日の週,161.0,,334.0,,,791.0,608.0,,,,,
平成30年7月23日の週,184.0,,384.0,,,712.0,630.0,,,,,
平成30年7月30日の週,251.0,,573.0,,,658.0,660.0,,,,,
平成30年8月6日の週,257.0,,492.0,,,629.0,667.0,,,,,
平成30年8月13日の週,230.0,,470.0,,,708.0,742.0,,,,,
平成30年8月20日の週,203.0,,430.0,,,703.0,798.0,,,,,
平成30年8月27日の週,178.0,,438.0,,,765.0,884.0,,,,,
